source_office,source_lon,source_lat,target_cafe,target_lon,target_lat,walking_distance_m
TWOitc,121.43182826124881,31.198543014148107,星巴克,121.4360973,31.1949698,932.6177616605711
TWOitc,121.43182826124881,31.198543014148107,星巴克,121.4277677,31.2016065,658.1493037851374
TWOitc,121.43182826124881,31.198543014148107,星巴克,121.4350011,31.1955061,843.4152803666404
TWOitc,121.43182826124881,31.198543014148107,星巴克,121.4349521,31.1975992,703.6117972184863
TWOitc,121.43182826124881,31.198543014148107,星巴克,121.432255,31.199617,307.09047698714755
TWOitc,121.43182826124881,31.198543014148107,星巴克,121.4359949,31.1947253,932.6177616605711
TWOitc,121.43182826124881,31.198543014148107,星巴克,121.4303326,31.2036407,839.8341215503527
TWOitc,121.43182826124881,31.198543014148107,星巴克,121.4236059,31.1982021,970.6353197212014
TWOitc,121.43182826124881,31.198543014148107,星巴克,121.4372213,31.1967572,858.6760785716816
TWOitc,121.43182826124881,31.198543014148107,星巴克,121.4343656,31.1924389,828.2477469962124
